*    Row   *   EventNo * Antineutr * Positron_ * Neutron_K *  Vertex_X *  Vertex_Y *  Vertex_Z * Annihilat * Annihilat * Annihilat * Annihilat *
*      145 *       145 * 3.4950129 * 1.6844071 * 0.0046057 * 272.98744 * 335.32620 * -443.3573 * 269.75048 * 339.98141 * -445.0616 * 0.0362868 *
*      146 *       146 * 2.2201029 * 0.4096968 * 0.0044061 * 245.14408 * 57.646543 * -107.1536 * 245.32463 * 57.141603 * -108.3078 * 0.0070093 *
*      147 *       147 * 3.1738770 * 1.3630900 * 0.0047870 * -426.0123 * -434.0104 * -356.1535 * -423.9321 * -429.2361 * -358.0624 * 0.0267343 *
*      148 *       148 * 4.0351024 * 2.2278112 * 0.0012911 * -341.5312 * -463.7068 * 418.31421 * -340.6943 * -463.5100 * 427.36636 * 0.0397683 *
*      149 *       149 * 2.9561091 * 1.1435383 * 0.0065707 * 49.438531 * -226.2370 * -411.5829 * 45.034103 * -228.6315 * -411.6447 * 0.0227341 *
*      150 *       150 * 5.2076361 * 3.3943818 * 0.0072542 * -429.4912 * 13.940076 * 235.79963 * -435.7155 * 24.887516 * 242.13667 * 0.0566463 *
*      151 *       151 * 4.2897621 * 2.4564624 * 0.0272997 * 350.38778 * 286.43985 * -167.6962 * 349.82637 * 289.02865 * -176.3279 * 0.0384145 *
*      152 *       152 * 4.7965734 * 2.9679344 * 0.0226390 * 9.9237663 * 389.28916 * 148.58389 * 5.7220798 * 400.34730 * 143.59923 * 0.0503785 *
*      153 *       153 * 2.6297453 * 0.8223172 * 0.0014281 * -374.4788 * 348.85944 * -90.45650 * -374.8536 * 346.68673 * -87.72548 * 0.0167870 *
*      154 *       154 * 4.8168721 * 2.9779206 * 0.0329514 * 434.07650 * 83.103792 * 212.58541 * 434.13436 * 81.343344 * 211.05637 * 0.0106953 *
*      155 *       155 * 3.7702615 * 1.9463100 * 0.0179514 * 20.858214 * -54.64438 * 404.57087 * 15.872421 * -57.03558 * 404.24705 * 0.0355409 *
*      156 *       156 * 3.0307421 * 1.2181400 * 0.0066021 * 308.93850 * -479.4102 * -230.0456 * 308.23487 * -478.7949 * -226.8546 * 0.0236272 *
*      157 *       157 * 6.4662407 * 4.6369882 * 0.0232525 * -322.8735 * 358.84759 * 55.179153 * -303.1652 * 368.83344 * 59.657879 * 0.0885453 *
*      158 *       158 * 5.4217388 * 3.5692134 * 0.0465254 * 161.34958 * -183.6700 * 264.86064 * 168.30662 * -174.0766 * 253.64223 * 0.0683256 *
